id,title,description,category,brand,price,color,gender,rating,created_at
1,Asisas Training Shorts with Lace Trim,"The Asisas Training Shorts with Lace Trim stands out for its quality and style. Made with nylon-spandex for a premium hand-feel. Designed for formal events with a four-way stretch silhouette. Details: tapered leg, hidden side zipper, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Performance notes: supportive compression and quick-dry finish for high-intensity sessions.",Activewear,Asisas,290.2,Black,Men,3.96,2025-11-16 05:12:00 
2,StreetWear Cashmere V-Neck Sweater,Customers choose the StreetWear Cashmere V-Neck Sweater for its reliability. A classic essential with elevated details.,Tops,StreetWear,29.47,White,Women,3.83,2025-01-09 01:29:00 
3,Niky Linen Suit Set,An easy-to-style piece with a modern fit.,Suits & Blazers,Niky,224.48,Yellow,Men,4.23,2025-01-19 05:00:00 
4,Asisas Heritage Denim Jacket,"Made with wool for a premium hand-feel. Designed for travel with a wrinkle-resistant silhouette. Details: functional pockets, soft-touch lining, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Weather notes: designed to layer comfortably; ideal for transitional temperatures.",Outerwear,Asisas,263.5,Blue,Women,4.04,2025-12-18 23:54:00 
5,Asisas Board Shorts,A versatile staple for everyday wear.,Swimwear,Asisas,69.07,Yellow,Unisex,4.16,2025-12-04 11:44:00 
6,StreetWear Studio Training Shorts,"Made with mesh for a premium hand-feel. Designed for formal events with a oversized silhouette. Details: hidden side zipper, lace trim, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Performance notes: supportive compression and quick-dry finish for high-intensity sessions.",Activewear,StreetWear,78.22,Gray,Unisex,4.32,2025-01-14 06:49:00 
7,Gucci Signature Wool Blend Coat with Graphic Print,"The Gucci Signature Wool Blend Coat with Graphic Print stands out for its quality and style. Made with wool for a premium hand-feel. Designed for vacation with a insulated silhouette. Details: functional pockets, subtle logo hardware, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Weather notes: designed to layer comfortably; ideal for transitional temperatures.",Outerwear,Gucci,226.52,Brown,Women,4.51,2024-10-04 12:49:00 
8,StreetWear Signature Cotton T-Shirt with Graphic Print,A versatile staple for everyday wear.,Tops,StreetWear,339.8,Green,Men,4.37,2024-11-29 08:07:00 
9,StreetWear Women Canvas Tote,"The StreetWear Women Canvas Tote stands out for its quality and style. Comfortable, flattering, and designed to last.",Accessories,StreetWear,725.29,Black,Women,4.92,2025-07-02 03:57:00 
10,StreetWear Chelsea Boots,"Made with leather for a premium hand-feel. Designed for street style with a mid-rise silhouette. Details: soft-touch lining, functional pockets, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Comfort notes: cushioned insole and grippy outsole for all-day wear.",Footwear,StreetWear,798.5,White,Men,3.87,2025-02-11 19:22:00 
11,Asisas Pleated Midi Dress,"Featuring the Asisas Pleated Midi Dress, this product offers comfort and durability. A versatile staple for everyday wear.",Dresses,Asisas,40.04,Red,Women,4.05,2025-04-12 18:02:00 
12,Prada Strappy Sandals,"Made with rubber for a premium hand-feel. Designed for street style with a cropped silhouette. Details: soft-touch lining, contrast stitching, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Comfort notes: cushioned insole and grippy outsole for all-day wear.",Footwear,Prada,307.78,Green,Women,3.73,2025-01-23 12:50:00 
13,UrbanChic Denim Jacket,"Featuring the UrbanChic Denim Jacket, this product offers comfort and durability. An easy-to-style piece with a modern fit.",Outerwear,UrbanChic,877.66,Blue,Women,4.31,2024-12-17 17:53:00 
14,UrbanChic Strappy Sandals,"This UrbanChic Strappy Sandals is designed for everyday use. Made with suede for a premium hand-feel. Designed for everyday wear with a lightweight silhouette. Details: soft-touch lining, elastic waistband, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Comfort notes: cushioned insole and grippy outsole for all-day wear.",Footwear,UrbanChic,51.67,Gray,Men,4.76,2025-05-18 04:29:00 
15,Louis Vuitton Seamless Briefs,An easy-to-style piece with a modern fit.,Lingerie & Sleepwear,Louis Vuitton,180.81,White,Unisex,4.38,2025-10-06 04:40:00 
16,Niky Rash Guard,A classic essential with elevated details.,Swimwear,Niky,128.53,Purple,Men,4.23,2025-03-05 09:32:00 
17,Prada Strappy Sandals,The Prada Strappy Sandals stands out for its quality and style. An easy-to-style piece with a modern fit.,Footwear,Prada,412.46,Red,Women,4.28,2024-12-11 05:04:00 
18,Prada Pleated Chinos,"Featuring the Prada Pleated Chinos, this product offers comfort and durability. A versatile staple for everyday wear.",Bottoms,Prada,168.7,Yellow,Women,3.65,2025-03-15 22:53:00 
19,Mango Tailored Linen Trousers,An easy-to-style piece with a modern fit.,Bottoms,Mango,433.52,Purple,Unisex,4.16,2024-08-10 12:09:00 
20,UrbanChic High-Waist Bikini Bottom,A versatile staple for everyday wear.,Swimwear,UrbanChic,32.91,White,Men,3.98,2025-03-13 17:38:00 
21,Niky Classic Pumps with Belt,"Made with rubber for a premium hand-feel. Designed for vacation with a buttery-soft silhouette. Details: hidden side zipper, lace trim, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Comfort notes: cushioned insole and grippy outsole for all-day wear.",Footwear,Niky,877.48,Pink,Women,4.41,2026-01-02 19:28:00 
22,Minimalist Rain Shell Jacket,Customers choose the Minimalist Rain Shell Jacket for its reliability. A versatile staple for everyday wear.,Outerwear,Minimalist,212.19,Gray,Unisex,3.74,2025-10-16 10:26:00 
23,UrbanChic City Off-Shoulder Dress,A classic essential with elevated details.,Dresses,UrbanChic,560.96,Green,Women,4.15,2024-12-29 19:26:00 
24,Gucci Classic Graphic T-Shirt,,Tops,Gucci,224.37,Pink,Men,3.99,2025-05-28 06:33:00 
25,Mango One-Piece Swimsuit with Ribbed Hem,"This Mango One-Piece Swimsuit with Ribbed Hem is designed for everyday use. Comfortable, flattering, and designed to last.",Swimwear,Mango,199.56,Purple,Unisex,3.76,2025-03-12 11:30:00 
26,UrbanChic Cut-Out Swimsuit (Best Seller),"Made with recycled nylon for a premium hand-feel. Designed for studio with a easy-care silhouette. Details: structured shoulders, adjustable straps, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed.",Swimwear,UrbanChic,187.79,Blue,Women,4.9,2025-03-07 13:45:00 
27,StreetWear Graphic T-Shirt with Lace Trim,An easy-to-style piece with a modern fit.,Tops,StreetWear,75.99,Red,Men,3.84,2025-09-26 00:11:00 
28,Louis Vuitton Set of 3 Jewelry Pieces,"Comfortable, flattering, and designed to last.",Accessories,Louis Vuitton,1794.21,Yellow,Women,3.57,2025-01-24 12:35:00 
29,StreetWear Heritage Training Shorts,This StreetWear Heritage Training Shorts is designed for everyday use. A versatile staple for everyday wear.,Activewear,StreetWear,48.61,Yellow,Women,4.57,2024-12-27 23:47:00 
30,Minimalist Stretch Suit Trousers,"Featuring the Minimalist Stretch Suit Trousers, this product offers comfort and durability. Comfortable, flattering, and designed to last.",Suits & Blazers,Minimalist,802.19,Blue,Unisex,4.14,2025-07-15 01:44:00 
31,GymClark Modern Summer Maxi Dress,"Made with cotton for a premium hand-feel. Designed for studio with a buttery-soft silhouette. Details: adjustable straps, elastic waistband, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed.",Dresses,GymClark,243.01,Pink,Women,4.19,2025-10-13 14:31:00 
32,StreetWear Cargo Pants - Outlet,"Made with leather for a premium hand-feel. Designed for street style with a wrinkle-resistant silhouette. Details: hidden side zipper, mesh panels, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed.",Bottoms,StreetWear,27.6,Green,Unisex,2.1,2024-12-09 21:39:00 
33,Zana Classic Pumps,"Featuring the Zana Classic Pumps, this product offers comfort and durability. A classic essential with elevated details.",Footwear,Zana,196.88,Red,Unisex,4.16,2025-04-14 23:10:00 
34,Mango A-Line Skirt - Outlet,"Customers choose the Mango A-Line Skirt - Outlet for its reliability. Made with corduroy for a premium hand-feel. Designed for workwear with a cropped silhouette. Details: adjustable straps, elastic waistband, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed.",Bottoms,Mango,47.51,Brown,Men,2.42,2025-02-05 10:22:00 
35,Asisas Studio Performance Leggings,"Made with nylon-spandex for a premium hand-feel. Designed for trianing with a tailored silhouette. Details: contrast stitching, functional pockets, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Performance notes: supportive compression and quick-dry finish for high-intensity sessions.",Activewear,Asisas,106.27,Orange,Women,4.21,2024-09-26 09:07:00 
36,Gucci Sunglasses,"Made with sterling silver for a premium hand-feel. Designed for evening with a breathable silhouette. Details: ribbed cuffs, lace trim, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Finishing touch: pairs easily with both minimalist and statement looks.",Accessories,Gucci,628.5,White,Women,4.45,2024-11-26 15:33:00 
37,Minimalist Women Beanie Hat,A versatile staple for everyday wear.,Accessories,Minimalist,188.07,Yellow,Women,3.86,2024-11-17 16:30:00 
38,StreetWear Modern Relaxed Shirt Dress,"Featuring the StreetWear Modern Relaxed Shirt Dress, this product offers comfort and durability. Comfortable, flattering, and designed to last.",Dresses,StreetWear,334.29,Green,Women,4.34,2024-09-01 16:37:00 
39,Asisas City Canvas Tote,"Made with resin for a premium hand-feel. Designed for formal events with a high-waisted silhouette. Details: functional pockets, tapered leg, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Finishing touch: pairs easily with both minimalist and statement looks.",Accessories,Asisas,370.9,Pink,Women,4.26,2025-01-20 21:29:00 
40,Balenciaga Heritage Ribbed Tank Top,"The Balenciaga Heritage Ribbed Tank Top stands out for its quality and style. Comfortable, flattering, and designed to last.",Tops,Balenciaga,39.99,Orange,Unisex,4.18,2025-02-08 08:06:00 
41,Zana Red Swim Trunks,A classic essential with elevated details.,Swimwear,Zana,41.25,Red,Unisex,4.43,2025-03-10 19:16:00 
42,GymClark Leather Belt,Classic fit.,Accessories,GymClark,48.76,Black,Men,3.91,2024-07-22 20:09:00 
43,GymClark Crossbody Bag,"Made with cotton for a premium hand-feel. Designed for weekend with a insulated silhouette. Details: mesh panels, hidden side zipper, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Finishing touch: pairs easily with both minimalist and statement looks.",Accessories,GymClark,134.08,Brown,Women,3.95,2025-01-12 22:29:00 
44,Niky Gym Hoodie,,Activewear,Niky,29.92,Blue,Men,3.85,2025-01-04 04:55:00 
45,Asisas Studio Performance Leggings,"Customers choose the Asisas Studio Performance Leggings for its reliability. Comfortable, flattering, and designed to last.",Activewear,Asisas,42.14,Gray,Women,4.18,2024-10-23 14:31:00 
46,UrbanChic Retro Leather Loafers,"Featuring the UrbanChic Retro Leather Loafers, this product offers comfort and durability. An easy-to-style piece with a modern fit.",Footwear,UrbanChic,63.7,Black,Men,4.03,2025-05-29 03:35:00 
47,Niky Signature Silk Scarf,"Made with leather for a premium hand-feel. Designed for weekend with a water-resistant silhouette. Details: functional pockets, structured shoulders, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Finishing touch: pairs easily with both minimalist and statement looks.",Accessories,Niky,22.07,Pink,Men,4.25,2025-09-18 16:15:00 
48,Balenciaga Studio Relaxed Pleated Chinos,An easy-to-style piece with a modern fit.,Bottoms,Balenciaga,759.78,Yellow,Women,4.59,2025-05-24 06:38:00 
49,Niky Stretch Suit Trousers with Zip Detail,A versatile staple for everyday wear.,Suits & Blazers,Niky,165.21,Yellow,Women,4.72,2025-10-30 08:17:00 
50,UrbanChic Sports Cap,"Comfortable, flattering, and designed to last.",Accessories,UrbanChic,645.79,Blue,Women,4.52,2025-08-10 13:39:00 
51,UrbanChic Signature Silk Robe,A classic essential with elevated details.,Lingerie & Sleepwear,UrbanChic,245.81,Red,Women,4.41,2024-09-02 01:57:00 
52,Minimalist City Relaxed Cocktail Dress,Everyday essential.,Dresses,Minimalist,262.83,White,Women,4.56,2025-08-07 22:45:00 
53,Zana Heritage Tailored Cocktail Dress,"Made with satin for a premium hand-feel. Designed for travel with a relaxed fit silhouette. Details: structured shoulders, mesh panels, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed.",Dresses,Zana,363.17,White,Women,4.37,2025-01-19 17:02:00 
54,Elegante Cargo Pants,"Featuring the Elegante Cargo Pants, this product offers comfort and durability. Comfortable, flattering, and designed to last.",Bottoms,Elegante,166.29,Yellow,Women,3.98,2025-10-19 07:22:00 
55,Asisas Women Retro Strappy Sandals,"Made with suede for a premium hand-feel. Designed for everyday wear with a oversized silhouette. Details: ribbed cuffs, adjustable straps, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Comfort notes: cushioned insole and grippy outsole for all-day wear.",Footwear,Asisas,996.44,Blue,Women,4.49,2024-09-03 09:06:00 
56,Minimalist Quilted Parka,An easy-to-style piece with a modern fit.,Outerwear,Minimalist,216.65,Blue,Men,3.95,2025-09-23 03:48:00 
57,Niky Classic Slim Fit Suit Jacket,A versatile staple for everyday wear.,Suits & Blazers,Niky,447.26,Purple,Women,4.63,2024-11-26 22:14:00 
58,Balenciaga Set of 3 Jewelry Pieces,A classic essential with elevated details.,Accessories,Balenciaga,136.58,Green,Men,3.95,2025-12-23 00:17:00 
59,StreetWear Heritage Training Shorts,"The StreetWear Heritage Training Shorts stands out for its quality and style. Made with moisture-wicking poly for a premium hand-feel. Designed for travel with a buttery-soft silhouette. Details: hidden side zipper, functional pockets, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Performance notes: supportive compression and quick-dry finish for high-intensity sessions.",Activewear,StreetWear,181.95,Blue,Women,4.25,2025-07-13 22:27:00 
